id,eafya_hmis_id,hmis_code,hmis_name,eafya_disease_id,eafya_disease_name,section_id,section_name,data_element_id,category_optioncombo_id,category_optioncombo_name
95,243,CA02,Prostate Cancer,1226,Malignant neoplasm of prostate,1.3.11,Cancers,NcwKTZiSNbS,dCKzhhINakS,"20+Yrs, Male"
96,243,CA02,Prostate Cancer,1226,Malignant neoplasm of prostate,1.3.11,Cancers,NcwKTZiSNbS,XVHTeecEOM3,"20+Yrs, Female"
97,243,CA02,Prostate Cancer,1226,Malignant neoplasm of prostate,1.3.11,Cancers,NcwKTZiSNbS,c7gvocRdg0f,"10-19Yrs, Male"
98,243,CA02,Prostate Cancer,1226,Malignant neoplasm of prostate,1.3.11,Cancers,NcwKTZiSNbS,u3CkZqMHfHP,"10-19Yrs, Female"
99,243,CA02,Prostate Cancer,1226,Malignant neoplasm of prostate,1.3.11,Cancers,NcwKTZiSNbS,zh2zAaHyYQx,"0-28Dys, Male"
100,243,CA02,Prostate Cancer,1226,Malignant neoplasm of prostate,1.3.11,Cancers,NcwKTZiSNbS,wDiX34aiw6i,"0-28Dys, Female"
101,244,CA03,Breast Cancer,1180,Nipple and areola,1.3.11,Cancers,rw7ri7jcMHc,u3CkZqMHfHP,"10-19Yrs, Female"
102,244,CA03,Breast Cancer,1182,Upper-inner quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,Crc5reUlspd,"5-9Yrs, Female"
103,244,CA03,Breast Cancer,1182,Upper-inner quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,V2OuNTRI6ua,"29Dys-4Yrs, Male"
104,244,CA03,Breast Cancer,1182,Upper-inner quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,huBy3W5qiD2,"29Dys-4Yrs, Female"
105,244,CA03,Breast Cancer,1182,Upper-inner quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,dCKzhhINakS,"20+Yrs, Male"
106,244,CA03,Breast Cancer,1182,Upper-inner quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,XVHTeecEOM3,"20+Yrs, Female"
107,244,CA03,Breast Cancer,1182,Upper-inner quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,c7gvocRdg0f,"10-19Yrs, Male"
108,244,CA03,Breast Cancer,1182,Upper-inner quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,u3CkZqMHfHP,"10-19Yrs, Female"
109,244,CA03,Breast Cancer,1182,Upper-inner quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,zh2zAaHyYQx,"0-28Dys, Male"
110,244,CA03,Breast Cancer,1182,Upper-inner quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,wDiX34aiw6i,"0-28Dys, Female"
111,244,CA03,Breast Cancer,1183,Lower-inner quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,F1rms8f9I9a,"5-9Yrs, Male"
112,244,CA03,Breast Cancer,1183,Lower-inner quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,Crc5reUlspd,"5-9Yrs, Female"
113,244,CA03,Breast Cancer,1183,Lower-inner quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,V2OuNTRI6ua,"29Dys-4Yrs, Male"
114,244,CA03,Breast Cancer,1183,Lower-inner quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,huBy3W5qiD2,"29Dys-4Yrs, Female"
115,244,CA03,Breast Cancer,1183,Lower-inner quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,dCKzhhINakS,"20+Yrs, Male"
116,244,CA03,Breast Cancer,1183,Lower-inner quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,XVHTeecEOM3,"20+Yrs, Female"
117,244,CA03,Breast Cancer,1183,Lower-inner quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,c7gvocRdg0f,"10-19Yrs, Male"
118,244,CA03,Breast Cancer,1183,Lower-inner quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,u3CkZqMHfHP,"10-19Yrs, Female"
119,244,CA03,Breast Cancer,1183,Lower-inner quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,zh2zAaHyYQx,"0-28Dys, Male"
120,244,CA03,Breast Cancer,1183,Lower-inner quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,wDiX34aiw6i,"0-28Dys, Female"
121,244,CA03,Breast Cancer,1184,Upper-outer quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,F1rms8f9I9a,"5-9Yrs, Male"
122,244,CA03,Breast Cancer,1184,Upper-outer quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,Crc5reUlspd,"5-9Yrs, Female"
123,244,CA03,Breast Cancer,1184,Upper-outer quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,V2OuNTRI6ua,"29Dys-4Yrs, Male"
124,244,CA03,Breast Cancer,1184,Upper-outer quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,huBy3W5qiD2,"29Dys-4Yrs, Female"
125,244,CA03,Breast Cancer,1184,Upper-outer quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,dCKzhhINakS,"20+Yrs, Male"
126,244,CA03,Breast Cancer,1184,Upper-outer quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,XVHTeecEOM3,"20+Yrs, Female"
127,244,CA03,Breast Cancer,1184,Upper-outer quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,c7gvocRdg0f,"10-19Yrs, Male"
128,244,CA03,Breast Cancer,1184,Upper-outer quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,u3CkZqMHfHP,"10-19Yrs, Female"
129,244,CA03,Breast Cancer,1184,Upper-outer quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,zh2zAaHyYQx,"0-28Dys, Male"
130,244,CA03,Breast Cancer,1184,Upper-outer quadrant of breast,1.3.11,Cancers,rw7ri7jcMHc,wDiX34aiw6i,"0-28Dys, Female"
