id,section_name,section_id,section_item_name,section_item_code
344,Laboratory Tests - Parasitology Blood,10.2.1,Trichinella,PS05
345,Laboratory Tests - Parasitology Blood,10.2.1,Borrelia,PS06
346,Laboratory Tests - Stool Microscopy,10.2.1,Entamoeba,MS01
347,Laboratory Tests - Stool Microscopy,10.2.1,Giardia Lamblia,MS02
348,Laboratory Tests - Stool Microscopy,10.2.1,Cryptosporidium,MS03
349,Laboratory Tests - Stool Microscopy,10.2.1,Isospora B,MS04
350,Laboratory Tests - Stool Microscopy,10.2.1,Cyclospora,MS05
351,Laboratory Tests - Stool Microscopy,10.2.1,Strongyloides,MS06
352,Laboratory Tests - Stool Microscopy,10.2.1,Shistosoma,MS07
353,Laboratory Tests - Stool Microscopy,10.2.1,Taenia/T,MS08
354,Laboratory Tests - Stool Microscopy,10.2.1,Askaris,MS09
355,Laboratory Tests - Stool Microscopy,10.2.1,Hookworm,MS10
356,Laboratory Tests - Stool Microscopy,10.2.1,Trichuris,MS11
357,Laboratory Tests - Stool Microscopy,10.2.1,Other parasites,MS12
358,Laboratory Tests - Stool Microscopy,10.2.1,Total Tests Done for Stool Microscopy,MS13
359,Laboratory Tests - Serology,10.2.1,VDRL/RPR,SR01
360,Laboratory Tests - Serology,10.2.1,TPHA,SR02
361,Laboratory Tests - Serology,10.2.1,Shigella Dysentery,SR03
362,Laboratory Tests - Serology,10.2.1,Hepatitis BsAg,SR04
363,Laboratory Tests - Serology,10.2.1,Brucella,SR05
364,Laboratory Tests - Serology,10.2.1,Pregnancy Test (HCG),SR06
365,Laboratory Tests - Serology,10.2.1,CrAg,SR07
366,Laboratory Tests - Serology,10.2.1,Rheumatoid factor,SR08
367,Laboratory Tests - Serology,10.2.1,Hep B Core Ag,SR09
368,Laboratory Tests - Serology,10.2.1,Hep C,SR10
369,Laboratory Tests - Serology,10.2.1,Hep A,SR11
370,Laboratory Tests - Serology,10.2.1,Hep B e Ag,SR12
371,Laboratory Tests - Serology,10.2.1,H pylori,SR13
372,Laboratory Tests - Serology,10.2.1,Occult blood,SR14
373,Laboratory Tests - Serology,10.2.1,Toxoplasma IgG,SR15
374,Laboratory Tests - Serology,10.2.1,Toxoplasma IgM,SR16
375,Laboratory Tests - Serology,10.2.1,Rubella,SR17
376,Laboratory Tests - Serology,10.2.1,Others,SR18
377,Laboratory Tests - Microbiology,10.2.1,Auramine (FM) for AFBs,MB01
378,Laboratory Tests - Microbiology,10.2.1,ZN for AFBs,MB02
379,Laboratory Tests - Microbiology,10.2.1,Leishman Stain,MB03
380,Laboratory Tests - Microbiology,10.2.1,Gram,MB04
381,Laboratory Tests - Microbiology,10.2.1,India Ink,MB05
