section_id,section_name,eafya_id,eafya_name,hmis_code,hmis_name,data_element_id,categoryoptioncombo_uid,categoryoptioncombo_name
2.1,Antenatal,,,AN11,Pregnant Women receiving LLINs at ANC 1st visit,KwdS7TztHf0,PwuKTzy4vLJ,15-19Yrs
2.1,Antenatal,,,AN11,Pregnant Women receiving LLINs at ANC 1st visit,KwdS7TztHf0,JtoaNPpY2BF,<15Yrs
2.1,Antenatal,,,AN11,Pregnant Women receiving LLINs at ANC 1st visit,KwdS7TztHf0,c9JPAeQh49R,20-24Yrs
2.1,Antenatal,,,AN11,Pregnant Women receiving LLINs at ANC 1st visit,KwdS7TztHf0,QGprPUGJp4N,25-49Yrs
2.1,Antenatal,,,AN11,Pregnant Women receiving LLINs at ANC 1st visit,KwdS7TztHf0,sxBbkmHxnBP,50+Yrs
2.1,Antenatal,,,AN11,Pregnant Women receiving LLINs at ANC 1st visit,KwdS7TztHf0,HllvX50cXC0,default
2.1,Antenatal,,,AN12,No. of pregnant women who received obstetric-ultrasound scan,KwdS7TztHf0,PwuKTzy4vLJ,15-19Yrs
2.1,Antenatal,,,AN12,No. of pregnant women who received obstetric-ultrasound scan,KwdS7TztHf0,JtoaNPpY2BF,<15Yrs
2.1,Antenatal,,,AN12,No. of pregnant women who received obstetric-ultrasound scan,KwdS7TztHf0,c9JPAeQh49R,20-24Yrs
2.1,Antenatal,,,AN12,No. of pregnant women who received obstetric-ultrasound scan,KwdS7TztHf0,QGprPUGJp4N,25-49Yrs
2.1,Antenatal,,,AN12,No. of pregnant women who received obstetric-ultrasound scan,KwdS7TztHf0,sxBbkmHxnBP,50+Yrs
2.1,Antenatal,,,AN12,No. of pregnant women who received obstetric-ultrasound scan,KwdS7TztHf0,HllvX50cXC0,Pregnant Women receiving LLINs at ANC 1st visit
2.1,Antenatal,,,AN12,No. of pregnant women who received obstetric-ultrasound scan,b2KqlfIjy95,PwuKTzy4vLJ,15-19Yrs
2.1,Antenatal,,,AN12,No. of pregnant women who received obstetric-ultrasound scan,b2KqlfIjy95,JtoaNPpY2BF,<15Yrs
2.1,Antenatal,,,AN12,No. of pregnant women who received obstetric-ultrasound scan,b2KqlfIjy95,c9JPAeQh49R,20-24Yrs
2.1,Antenatal,,,AN12,No. of pregnant women who received obstetric-ultrasound scan,b2KqlfIjy95,QGprPUGJp4N,25-49Yrs
2.1,Antenatal,,,AN12,No. of pregnant women who received obstetric-ultrasound scan,b2KqlfIjy95,sxBbkmHxnBP,50+Yrs
2.1,Antenatal,,,AN12,No. of pregnant women who received obstetric-ultrasound scan,b2KqlfIjy95,HllvX50cXC0,No. of pregnant women who received obstetric-ultra sound scan during any ANC visit in the reporting month
2.1,Antenatal,,,AN12,No. of pregnant women who received obstetric-ultrasound scan,o1WgIrJ0wY4,PwuKTzy4vLJ,15-19Yrs
2.1,Antenatal,,,AN12,No. of pregnant women who received obstetric-ultrasound scan,o1WgIrJ0wY4,JtoaNPpY2BF,<15Yrs
2.1,Antenatal,,,AN12,No. of pregnant women who received obstetric-ultrasound scan,o1WgIrJ0wY4,c9JPAeQh49R,20-24Yrs
2.1,Antenatal,,,AN12,No. of pregnant women who received obstetric-ultrasound scan,o1WgIrJ0wY4,QGprPUGJp4N,25-49Yrs
2.1,Antenatal,,,AN12,No. of pregnant women who received obstetric-ultrasound scan,o1WgIrJ0wY4,sxBbkmHxnBP,50+Yrs
2.1,Antenatal,,,AN12,No. of pregnant women who received obstetric-ultrasound scan,o1WgIrJ0wY4,HllvX50cXC0,No. of pregnant women who received obstetric-ultra sound scan during any ANC visit in the reporting month - No. done before 24 weeks of gestation
